code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
bjj,True,,Indo-European,28,0,0,0.11518944723618074,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,104,0
dje,True,,Songhay,28,0,0,0.08849346733668328,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
fuc,True,,Atlantic-Congo,28,0,0,0.1092211055276381,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
shi,True,,Afro-Asiatic,4,14,10,0.6342180904522629,0.0,0.5922,0.5922,0.6936,1.0,0.5922,1,0,13
nap,True,1.0,Indo-European,28,0,0,0.09452361809045208,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
fub,True,,Atlantic-Congo,28,0,0,0.27265979899497444,0.0002,0.0002,0.0002,0.6162,1.0,0.0002,0,118,3
bns,True,,Indo-European,28,0,0,0.45285929648241385,0.0002,0.0002,0.7532,0.7532,1.0,0.0002,0,69,13
dan,True,3.0,Indo-European,28,0,0,0.44442462311557934,0.0002,0.0002,0.5687,0.6667,1.0,0.6667,0,61,5
fin,True,4.0,Uralic,2,15,11,0.550389949748746,0.0002,0.5687,0.5687,0.5687,1.0,0.5687,0,1,4
ewe,True,1.0,Atlantic-Congo,3,12,13,0.520028643216081,0.0,0.5228,0.5228,0.5228,1.0,0.5228,1,1,1
mup,False,,Indo-European,27,1,0,0.09454623115577875,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
ayl,True,,Afro-Asiatic,28,0,0,0.29937336683417043,0.0002,0.0002,0.0002,0.7532,1.0,0.0002,0,115,2
czh,True,,Sino-Tibetan,28,0,0,0.11485778894472344,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,99,0
nor,True,,Indo-European,6,12,10,0.09016633165829137,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
ckb,True,,Indo-European,28,0,0,0.4784562814070364,0.0002,0.0002,0.7223,0.7223,1.0,0.7223,0,59,8
bci,True,,Atlantic-Congo,27,0,1,0.6798869346733679,0.0,0.79145,0.879,0.879,1.0,0.879,1,5,25
kam,True,0.0,Atlantic-Congo,28,0,0,0.10219798994974856,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
luo,True,,Nilotic,5,14,9,0.5063296482412075,0.0,0.4054,0.6162,0.6162,1.0,0.6162,1,3,7
hno,False,,Indo-European,28,0,0,0.09398592964824111,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
sag,True,1.0,Atlantic-Congo,1,15,12,0.5741758793969862,0.0,0.0002,0.879,0.879,1.0,0.879,5,48,8
mey,True,,Afro-Asiatic,28,0,0,0.108426633165829,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
kir,True,1.0,Turkic,4,11,13,0.5570849246231137,0.0,0.5456,0.5456,0.5456,1.0,0.5456,1,5,4
tat,True,1.0,Turkic,26,1,1,0.11150552763819079,0.0,0.0002,0.0002,0.0002,1.0,0.0002,2,104,1
ayh,True,,Afro-Asiatic,28,0,0,0.1152954773869345,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,104,0
lir,False,,Pidgin,28,0,0,0.1378577889447234,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
lmn,True,,Indo-European,28,0,0,0.4317015075376898,0.0002,0.0002,0.6936,0.6936,1.0,0.0002,0,67,13
san,True,2.0,Indo-European,27,1,0,0.10123366834170837,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,105,0
gpe,False,,Indo-European,28,0,0,0.13536080402010034,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,103,0
bew,True,,Austronesian,28,0,0,0.09824221105527622,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
min,True,1.0,Austronesian,28,0,0,0.3945919597989961,0.0002,0.0002,0.641,0.6936,1.0,0.0002,0,77,6
fuf,True,,Atlantic-Congo,28,0,0,0.06903015075376892,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,115,0
ssw,True,1.0,Atlantic-Congo,28,0,0,0.3189783919597985,0.0,0.0002,0.0002,0.879,1.0,0.0002,2,67,2
scn,True,1.0,Indo-European,28,0,0,0.09615678391959777,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
shn,True,0.0,Tai-Kadai,5,16,7,0.1243150753768843,0.0,0.0002,0.0002,0.0002,1.0,0.0002,1,96,3
tiv,True,0.0,Atlantic-Congo,28,0,0,0.10757135678391942,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
sou,False,,Tai-Kadai,28,0,0,0.0690396984924623,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,111,0
lao,True,2.0,Tai-Kadai,28,0,0,0.13269296482412046,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
sid,True,,Afro-Asiatic,28,0,0,0.11114974874371833,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
bug,True,1.0,Austronesian,28,0,0,0.09375527638190935,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
awa,True,0.0,Indo-European,27,1,0,0.1070055276381908,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
aln,True,,Indo-European,28,0,0,0.13456683417085402,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
mtr,False,,Indo-European,28,0,0,0.11074070351758779,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,104,0
csl,True,0.0,Sign Language,28,0,0,0.42538241206030264,0.0002,0.0002,0.6162,0.6162,1.0,0.6162,0,65,4
